name,brand,price
Apple ,IPhone 7 Plus 128GB - Rose Gold,"₦ 200,000 "
Apple ,IPhone 5S 32GB Gold  4G LTE Without Fingerprint (Refurbishment) 4-inch Screen (Gift：accessories),"₦ 28,500 "
Apple ,IPhone 6 4.7 Inch 1GB + 64GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Gold,"₦ 48,503 "
Apple ,IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD- Grey,"₦ 89,000 "
Apple ,IPhone 7 32G 4.7 Inch  IOS Smartphone (Refurbished) - Gold,"₦ 78,810 "
Apple ,IPhone 7-4.7 Inch Smartphone 2GB+128GB 12MP Finger Sensor 4G LTE (gift) HD-Red,"₦ 152,900 "
Apple ,IPhone 6S 64GB Smartphone - Black (Refurbished),"₦ 110,000 "
Apple ,"IPhone 7 - 4.7"" Smartphone RAM 2G + ROM 32G - 12MP - Single SIM - Matt Black - 32GB","₦ 85,990 "
Apple ,IPhone 6S Plus Refurbished 5.5 Inch Smartphone 64GB - Pink,"₦ 77,743 "
Apple ,IPhone 5C 32GB Blue 4G LTE  4-inch Screen (Gift：accessories) Smart Phone,"₦ 29,000 "
Apple ,IPhone 5S 16GB Black  4G - Fingerprint Unlock  4-inch Screen (Gift：accessories)(Refurbished),"₦ 27,700 "
Apple ,IPhone 5C 32GB Pink 4G -  4-inch Screen (Gift：accessories) Smart Phone (Refurbished),"₦ 28,000 "
Apple ,IPhone 5S - 16GB+1GB -8 MP- 4 Inch -Fingerprint Unlock  Refurbished Smart Phone-Silver,"₦ 26,800 "
Apple ,IPhone 4s 32GB 3.5InchROM+512MB RAM-8MP-Black(Gift：accessories)(Refurbished）,"₦ 15,000 "
Apple ,IPhone 6S Plus Refurbished Smartphone 16GB - Black,"₦ 68,210 "
Apple ,IPhone 5S 16GB Silver 4G LTE Without Fingerprint (Refurbishment) 4-inch Screen (Gift：accessories) (Refurbiished),"₦ 26,800 "
Apple ,IPhone 5S 16GB Gold  4G LTE Without Fingerprint (Refurbishment) 4-inch Screen (Gift：accessories),"₦ 25,000 "
Apple ,IPhone SE Refurbished Smartphone 4inch 64GB - Black,"₦ 45,665 "
Apple ,IPhone 6 4.7 Inch 1GB + 16GB 8MP Finger Sensor 4G Smartphone (Free Gift) – Gold,"₦ 43,000 "
Apple ,IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4 Inch - Apple Smartphones,"₦ 19,400 "
Apple ,IPhone SE Refurbished Smartphone 4inch 2+16GB (Gift)- Pink,"₦ 35,055 "
Apple ,"IPhone 5 - (1GB, 16GB ROM) - 4.0 Inch Screen - 8MP Pixel Smart Phone","₦ 19,400 "
Apple ,IPhone 7 32G 4.7 Inch IOS Smartphone (Refurbished) - Pink,"₦ 78,810 "
Apple ,"IPhone 6 Plus 16 GB 5.5"" IOS 4G Smartphone With Fingerprint Sensor(Refurbished)-Gold","₦ 54,800 "
Apple ,"IPhone 6 Plus 16GB 5.5"" Inch IOS Smartphone (Refurbished) - Gold","₦ 52,990 "
Apple ,IPhone 6s Refurbished Smartphone 4.7inch 16GB (Gift)- Silver,"₦ 47,690 "
Apple ,IPhone SE Refurbished Smartphone 4inch 64GB - Pink,"₦ 45,708 "
Apple ,IPhone SE Refurbished Smartphone 4inch 64GB - Silver,"₦ 45,669 "
Apple ,IPhone 5 - 16GB ROM +1GB RAM -8 MP- 4 Inch -  Apple Smartphones--black,"₦ 21,940 "
Apple ,IPhone 6 4.7 Inch 1GB + 16 GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Gift) – Gold,"₦ 45,500 "
Apple ,Apple Iphone 5 32gb +1GB RAM 8MP+1.2MPSmart Phone Mobile Phone 4-inch Screen(Gift：accessories),"₦ 44,152 "
Apple ,IPhone 5  1GB RAM+16GB ROM 4.0 Inch 8MP+1.2MP,"₦ 18,670 "
Apple ,IPhone 6 4.7 Inch 1GB + 32GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Grey,"₦ 45,000 "
Apple ,IPhone 6s Refurbished Smartphone 4.7inch 32GB (Gift)- Gold,"₦ 55,600 "
Apple ,IPhone 5S 32GB Black  4G LTE Fingerprint Unlock  4-inch Screen (Gift：accessories),"₦ 35,000 "
Apple ,IPhone 6SPlus Refurbished 5.5Inch Smartphone 16GB(Gift)-Pink,"₦ 64,220 "
Apple ,IPhone 5C 16GB Blue 4G -  4-inch Screen (Gift：accessories) Smart Phone(Refurbished),"₦ 26,500 "
Apple ,IPhone 6S Plus Refurbished Smartphone 128GB (Gift)- Rose Gold,"₦ 82,555 "
Apple ,IPhone 5 - 16G+1G - 4.0 Inch Screen - 8MP Pixel Refurbished Smart Phone - Silver,"₦ 22,800 "
Apple ,Iphone 5 Black 16gb Smart Phone Mobile Phone 4-inch Screen(Gift：accessories),"₦ 19,500 "
Apple ,IPhone 6 Plus 16GB Grey 4G LTE Fingerprint Unlock  5.5-inch Screen (Gift：accessories),"₦ 75,500 "
Apple ,Iphone 5 White 16gb Smart Phone- Mobile Phone 4-inch Screen(Gift：accessories)(Refurbished),"₦ 18,999 "
Apple ,IPhone 4s 3.5Inch 16GB ROM+512MB RAM-8MP( 98% New),"₦ 15,300 "
Apple ,IPhone 6 Plus 16GB 5.5 Inch IOS Smartphone (Refurbished) - Silvery,"₦ 52,990 "
Apple ,"IPhone 6s 2GB+32GB 4.7"" Fingerprint 12MP Main+5MP Front Camera(Refurbished)-RoseGold","₦ 65,664 "
Apple ,IPhone 6 4.7 Inch 1GB + 16 GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Gift) – Gold,"₦ 41,500 "
Apple ,"IPhone 6s Plus 2GB+64GB 5.5"" Fingerprint 12MP 4G LTE Smartphone(Refurbished)-RoseGold","₦ 97,200 "
Apple ,IPhone 6 4.7 Inch 1GB + 64GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Grey,"₦ 48,503 "
Apple ,Iphone 5 Black 16gb Smart Phone Mobile Phone 4-inch Screen(Gift：accessories),"₦ 24,500 "
Apple ,"Apple IPhone 6 Plus 128GB 5.5"" Inch IOS Smartphone (Refurbished)","₦ 75,000 "
Apple ,Refurbished Apple IPhone 6 Plus Smartphone 5.5inch 16GB-Silver,"₦ 44,555 "
Apple ,"IPhone 6 Plus 16 GB 5.5"" IOS 4G Smartphone With Fingerprint Sensor(Refurbished)-Silver","₦ 54,800 "
Apple ,IPhone 6 16GB 4.7 Inch IOS Smartphone  (Refurbished) - Silvery,"₦ 40,490 "
Apple ,"Apple IPhone 5S 16GB Silver 4G LTE Without Fingerprint,4-inch Screen","₦ 41,945 "
Apple ,IPhone 6 4.7 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Gift) – Silver,"₦ 45,500 "
Apple ,IPhone 6s Refurbished 4.7 Inch Smartphone 64GB (Gift)- Grey,"₦ 59,090 "
Apple ,Apple IPhone 6 16GB - Grey With Fingerprint (Refurbished) 4G LTE Smartphone (Gift)-Grey,"₦ 42,900 "
Apple ,IPhone 6 128GB 4.7 Inch IOS Smartphone (Refurbished) - Gold,"₦ 55,990 "
Apple ,Iphone 5 White 32gb Smart Phone Mobile Phone 4-inch Screen(Gift：accessories),"₦ 25,800 "
Apple ,IPhone 7 Plus 5.5 Inch Refurbished Smartphone 32GB-Pink,"₦ 118,800 "
